label
scCAT_HCT116_Batch1_1	HCT116
scCAT_HCT116_Batch1_2	HCT116
scCAT_HCT116_Batch1_3	HCT116
scCAT_HCT116_Batch1_4	HCT116
scCAT_HCT116_Batch1_5	HCT116
scCAT_HCT116_Batch1_6	HCT116
scCAT_HCT116_Batch1_7	HCT116
scCAT_HCT116_Batch1_8	HCT116
scCAT_HCT116_Batch1_9	HCT116
scCAT_HCT116_Batch1_10	HCT116
scCAT_HCT116_Batch1_11	HCT116
scCAT_HCT116_Batch1_12	HCT116
scCAT_HCT116_Batch1_13	HCT116
scCAT_HCT116_Batch1_14	HCT116
scCAT_HCT116_Batch1_15	HCT116
scCAT_HCT116_Batch1_16	HCT116
scCAT_HCT116_Batch1_17	HCT116
scCAT_HCT116_Batch1_18	HCT116
scCAT_HCT116_Batch1_19	HCT116
scCAT_HCT116_Batch1_20	HCT116
scCAT_HCT116_Batch1_21	HCT116
scCAT_HCT116_Batch1_22	HCT116
scCAT_HCT116_Batch1_23	HCT116
scCAT_HCT116_Batch1_24	HCT116
scCAT_HCT116_Batch1_25	HCT116
scCAT_HCT116_Batch1_26	HCT116
scCAT_HCT116_Batch1_27	HCT116
scCAT_HCT116_Batch1_28	HCT116
scCAT_HCT116_Batch1_29	HCT116
scCAT_HCT116_Batch1_30	HCT116
scCAT_HCT116_Batch1_31	HCT116
scCAT_HCT116_Batch1_32	HCT116
scCAT_HCT116_Batch1_33	HCT116
scCAT_HCT116_Batch1_34	HCT116
scCAT_HCT116_Batch1_35	HCT116
scCAT_HCT116_Batch1_36	HCT116
scCAT_HCT116_Batch1_37	HCT116
scCAT_HCT116_Batch1_38	HCT116
scCAT_HCT116_Batch1_39	HCT116
scCAT_HCT116_Batch1_40	HCT116
scCAT_HCT116_Batch1_41	HCT116
scCAT_HCT116_Batch1_42	HCT116
scCAT_HCT116_Batch2_1	HCT116
scCAT_HCT116_Batch2_2	HCT116
scCAT_HCT116_Batch2_3	HCT116
scCAT_HCT116_Batch2_4	HCT116
scCAT_HCT116_Batch2_5	HCT116
scCAT_HCT116_Batch2_6	HCT116
scCAT_HCT116_Batch2_7	HCT116
scCAT_HCT116_Batch2_8	HCT116
scCAT_HCT116_Batch2_9	HCT116
scCAT_HCT116_Batch2_10	HCT116
scCAT_HCT116_Batch2_11	HCT116
scCAT_HCT116_Batch2_12	HCT116
scCAT_HCT116_Batch2_13	HCT116
scCAT_HCT116_Batch2_14	HCT116
scCAT_HCT116_Batch2_15	HCT116
scCAT_HCT116_Batch2_16	HCT116
scCAT_HCT116_Batch2_17	HCT116
scCAT_HCT116_Batch2_18	HCT116
scCAT_HCT116_Batch2_19	HCT116
